"Country/Area","Year","Unit","Gross Domestic Product (GDP)"
"Singapore","2018","US$","62720.879584427144"
"Sint Maarten (Dutch part)","2018","US$","23366.71435383882"
"Slovakia","2018","US$","19430.79066308865"
"Slovenia","2018","US$","26005.099795730923"
"Solomon Islands","2018","US$","1946.8976391985852"
"Somalia","2018","US$","99.57642574659245"
"South Africa","2018","US$","6369.231608321647"
"South America","2018","US$","8745.65016135418"
"South Sudan","2018","US$","747.7170730874532"
"South-Eastern Asia","2018","US$","4538.527587492624"
"Southern Africa","2018","US$","6214.970022079964"
"Southern Asia","2018","US$","2083.37303372342"
"Southern Europe","2018","US$","27584.74296931975"
"Spain","2018","US$","30405.83305062853"
"Sri Lanka","2018","US$","4189.687658199131"
"State of Palestine","2018","US$","3347.0430367887666"
"Sub-Saharan Africa","2018","US$","1637.649250437932"
"Sudan","2018","US$","1208.4407018639617"
"Suriname","2018","US$","6003.7184306860645"
"Sweden","2018","US$","55766.81473360333"
"Switzerland","2018","US$","82708.514386441"
"Syrian Arab Republic","2018","US$","981.3017659850877"
"Tajikistan","2018","US$","826.6202067111003"
"Thailand","2018","US$","7273.564850313374"
"Timor-Leste","2018","US$","2035.5306970016736"
"Togo","2018","US$","654.7589348630524"
"Tonga","2018","US$","4885.812476511404"
"Trinidad and Tobago","2018","US$","17130.33982018766"
"Tunisia","2018","US$","3449.5809999239937"
"Turkey","2018","US$","9367.916872278527"
"Turkmenistan","2018","US$","6964.613044774765"
"Turks and Caicos Islands","2018","US$","27142.24178945971"
"Tuvalu","2018","US$","4000.6208152481972"
"Uganda","2018","US$","704.3946243327063"
"Ukraine","2018","US$","2956.9215296575626"
"United Arab Emirates","2018","US$","43004.95335848817"
"United Kingdom of Great Britain and Northern Ireland","2018","US$","42526.43903781095"
"United Republic of Tanzania: Mainland","2018","US$","1044.0621576055712"
"United Republic of Tanzania: Zanzibar","2018","US$","1024.1493308294544"
"United States","2018","US$","62917.93946347874"
"Uruguay","2018","US$","17278.06205176851"
"Uzbekistan","2018","US$","1554.9803139028036"
"Vanuatu","2018","US$","3037.2152284706553"
"Venezuela (Bolivarian Republic of)","2018","US$","7212.158554489892"
"Viet Nam","2018","US$","2563.175868210829"
"Western Africa","2018","US$","1696.0106205610293"
"Western Asia","2018","US$","12094.66340652418"
"Western Europe","2018","US$","47884.66537665368"
"World","2018","US$","11232.217767849637"
"Yemen","2018","US$","935.888142571825"
"Zambia","2018","US$","1572.3440315988241"
"Zimbabwe","2018","US$","1683.7657684481026"
